"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
   Finland*,250610,288655,315861,300562,291883,282223,311889,101833,116149,125768,121279,115561,108794,123798,148777,172506,190093,179283,176322,173429,188091
   Iceland,17597,21433,26173,28669,32454,37006,43251,8613,10434,12764,14160,16160,18348,21173,8984,10999,13409,14509,16294,18658,22078
   Ireland,917101,863541,820657,769942,729466,736639,734317,413123,385333,361562,342406,328010,334784,341607,503978,478208,459095,427536,401456,401855,392710
   Isle of Man*,10735,9003,7377,8484,9033,10580,12032,5098,4363,3675,4167,4534,5185,5816,5637,4640,3702,4317,4499,5395,6216
   Latvia,215070,228958,238641,270982,278168,369238,380010,99917,105380,108961,121873,122669,165315,172595,115153,123578,129680,149109,155499,203923,207415
   Lithuania,340973,342389,348564,412371,517746,556292,658057,152568,150762,151578,179732,225126,244904,288652,188405,191627,196986,232639,292620,311388,369405
   Norway*,138289,151041,163834,174063,179971,185578,191392,59772,65270,71032,77328,80335,82268,82789,78517,85771,92802,96735,99636,103310,108603
   Sweden,205942,225655,256610,267953,291904,302408,327581,87405,97040,112503,118935,129495,135980,147538,118537,128615,144107,149018,162409,166428,180043
   United Kingdom*,3789316,3708650,3860006,4145206,4432928,4379366,4732510,1873308,1844122,1929157,2088219,2228374,2223600,2408739,1916008,1864528,1930849,2056987,2204554,2155766,2323771
  Southern Europe,10622826,11889956,12651345,11535218,11728125,12045253,14017111,5425783,6028232,6387954,5819357,5844716,6004592,7109579,5197043,5861724,6263391,5715861,5883409,6040661,6907532
   Albania,180204,501066,824442,966032,1117940,1142844,1250451,109414,281966,454773,517369,580912,576220,642626,70790,219100,369669,448663,537028,566624,607825
