Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
2020,   Finland*,4759,12805,16972,18688,24821,42722,54097,51519,41784,35377,26391,20546,14244,9080,5255,6992,386052,2457,6628,8700,10036,13084,22591,28966,27500,21918,17989,13247,9669,6416,4217,2671,2733,198822,2302,6177,8272,8652,11737,20131,25131,24019,19866,17388,13144,10877,7828,4863,2584,4259,187230
1990,   Iceland,590,843,880,960,995,1100,925,825,590,480,380,286,244,150,126,210,9584,308,427,433,442,436,463,392,365,280,233,181,121,89,41,25,12,4248,282,416,447,518,559,637,533,460,310,247,199,165,155,109,101,198,5336
1995,   Iceland,741,785,843,1009,1202,1392,1366,1299,1040,821,620,472,385,237,199,327,12738,379,397,416,466,535,622,621,593,489,398,301,212,150,71,45,32,5727,362,388,427,543,667,770,745,706,551,423,319,260,235,166,154,295,7011
2000,   Iceland,894,738,815,1068,1413,1687,1802,1767,1483,1155,856,656,523,323,270,442,15892,454,370,401,494,636,781,848,819,696,559,420,302,209,101,64,53,7207,440,368,414,574,777,906,954,948,787,596,436,354,314,222,206,389,8685
2005,   Iceland,1015,1362,1461,1633,2674,3576,3252,2752,2140,1731,1314,867,576,356,298,485,25492,523,692,728,791,1274,1747,1654,1398,1080,884,674,430,250,124,83,81,12413,492,670,733,842,1400,1829,1598,1354,1060,847,640,437,326,232,215,404,13079
2010,   Iceland,1137,1986,2108,2198,3935,5465,4703,3738,2797,2308,1772,1078,630,389,326,521,35091,609,951,1063,1114,1800,2711,2471,2016,1431,1194,948,545,321,169,122,154,17619,528,1035,1045,1084,2135,2754,2232,1722,1366,1114,824,533,309,220,204,367,17472
2015,   Iceland,1081,1871,2117,2478,4031,5085,5273,4451,3498,2724,2198,1674,983,594,380,634,39072,529,987,1010,1254,2031,2435,2601,2227,1758,1275,1018,821,475,297,156,196,19070,552,884,1107,1224,2000,2650,2672,2224,1740,1449,1180,853,508,297,224,438,20002
2020,   Iceland,1329,2450,2723,3076,6720,9964,9176,7878,6324,5186,3723,2766,1822,924,575,788,65424,691,1285,1417,1470,3473,5707,5238,4524,3606,2913,1996,1444,966,441,273,272,35716,638,1165,1306,1606,3247,4257,3938,3354,2718,2273,1727,1322,856,483,302,516,29708
1990,   Ireland,6406,13686,19314,27810,27843,26133,21763,18561,13457,11568,8715,7659,6560,5910,4802,7774,227961,3338,7128,10044,14178,13865,12824,10677,9133,6673,5754,4321,3752,3052,2675,2050,2629,112093,3068,6558,9270,13632,13978,13309,11086,9428,6784,5814,4394,3907,3508,3235,2752,5145,115868
1995,   Ireland,8747,15465,11230,13843,22963,29636,28961,23095,15470,13733,10539,8678,6426,5788,4704,7614,226892,4327,7736,5564,6693,10644,14074,14073,11217,7540,6696,5110,4130,2977,2641,2046,2616,108084,4420,7729,5666,7150,12319,15562,14888,11878,7930,7037,5429,4548,3449,3147,2658,4998,118808
2000,   Ireland,12124,20425,22357,16716,32267,43769,48244,41454,31091,19894,16408,13628,10502,7399,5808,8466,350552,6012,10354,11142,8113,14785,21353,24591,21046,15768,10066,8242,6688,5154,3625,2756,3264,172959,6112,10071,11215,8603,17482,22416,23653,20408,15323,9828,8166,6940,5348,3774,3052,5202,177593
2005,   Ireland,15807,29003,31716,32591,65999,86426,74957,69424,54543,38812,24849,20177,14698,11193,7501,11350,589046,8373,15605,16986,17127,32013,44211,40490,37809,29841,21051,13347,10668,7721,5830,3833,5005,309910,7434,13398,14730,15464,33986,42215,34467,31615,24702,17761,11502,9509,6977,5363,3668,6345,279136
2010,   Ireland,14155,31089,40122,42551,66652,110414,103837,86120,73523,55611,37691,22648,16524,10761,7999,10845,730542,7019,15635,20300,21168,29199,51367,52406,44445,38376,28528,19049,11298,8125,5198,3816,4511,360440,7136,15454,19822,21383,37453,59047,51431,41675,35147,27083,18642,11350,8399,5563,4183,6334,370102
2015,   Ireland,35392,44341,40599,41232,46581,71468,101376,91143,69070,52738,42916,33332,25967,21982,15757,25362,759256,17862,22489,20699,21177,22763,31776,48112,46351,35881,27428,21854,16929,12997,10939,7854,11227,376338,17530,21852,19900,20055,23818,39692,53264,44792,33189,25310,21062,16403,12970,11043,7903,14135,382918
2020,   Ireland,36135,43326,45199,49092,53133,73433,100611,114572,91871,64408,49472,41152,32867,25048,20353,30584,871256,18408,22196,23181,24804,26558,35223,47453,56379,47160,33716,25749,20905,16710,12529,10036,13749,434756,17727,21130,22018,24288,26575,38210,53158,58193,44711,30692,23723,20247,16157,12519,10317,16835,436500
1990,   Isle of Man*,446,1029,1493,1737,1951,2398,2693,2660,2420,2708,2463,2332,2292,1978,2082,4087,34769,231,530,767,873,952,1157,1317,1306,1179,1316,1192,1110,1029,913,941,1558,16371,215,499,726,864,999,1241,1376,1354,1241,1392,1271,1222,1263,1065,1141,2529,18398
1995,   Isle of Man*,430,1003,1319,1454,1964,2671,3111,3032,2704,3330,2905,2524,2087,2027,2134,4191,36886,231,514,674,762,935,1278,1562,1472,1336,1634,1462,1266,998,921,949,1554,17548,199,489,645,692,1029,1393,1549,1560,1368,1696,1443,1258,1089,1106,1185,2637,19338
2000,   Isle of Man*,399,993,1400,1599,1949,2527,3015,3352,3305,3538,3064,2980,2461,2410,1809,4201,39002,213,520,724,814,960,1230,1486,1659,1628,1760,1536,1483,1140,1110,781,1681,18725,186,473,676,785,989,1297,1529,1693,1677,1778,1528,1497,1321,1300,1028,2520,20277
2005,   Isle of Man*,424,1055,1488,1700,2072,2687,3206,3564,3514,3762,3258,3168,2617,2562,1923,4475,41475,229,558,776,873,1031,1321,1595,1780,1748,1888,1647,1591,1226,1223,863,1865,20214,195,497,712,827,1041,1366,1611,1784,1766,1874,1611,1577,1391,1339,1060,2610,21261
2010,   Isle of Man*,447,848,1249,1748,2872,3695,3802,3771,3758,3491,3502,2947,2769,2248,2157,4143,43447,243,453,659,908,1446,1839,1915,1906,1892,1774,1793,1498,1315,1061,956,1703,21361,204,395,590,840,1426,1856,1887,1865,1866,1717,1709,1449,1454,1187,1201,2440,22086
2015,   Isle of Man*,260,629,908,1378,1544,1880,2309,2716,3316,4252,4493,3974,3354,3529,2842,4854,42238,138,344,469,723,783,909,1079,1302,1577,2116,2268,1954,1672,1729,1426,2107,20596,122,285,439,655,761,971,1230,1414,1739,2136,2225,2020,1682,1800,1416,2747,21642
2020,   Isle of Man*,396,575,722,1167,2368,2728,2376,2314,2669,3283,4200,4399,3845,3183,3243,5572,43040,210,315,374,614,1202,1321,1110,1111,1271,1636,2123,2166,1920,1561,1629,2424,20987,186,260,348,553,1166,1407,1266,1203,1398,1647,2077,2233,1925,1622,1614,3148,22053
1990,   Latvia,1183,3687,8656,13776,16360,21998,35200,57278,72028,72445,66408,61736,58649,52931,50284,53388,646007,649,1990,4613,7301,8489,11020,17136,27619,34644,34346,31089,28393,25974,20909,18903,17725,290800,534,1697,4043,6475,7871,10978,18064,29659,37384,38099,35319,33343,32675,32022,31381,35663,355207
1995,   Latvia,1300,2876,6381,10249,12714,17394,27103,43493,55802,58912,56608,53221,50049,45152,45342,51497,538093,704,1531,3364,5371,6517,8634,13070,20694,26370,27352,25885,23781,21462,17441,16412,15628,234216,596,1345,3017,4878,6197,8760,14033,22799,29432,31560,30723,29440,28587,27711,28930,35869,303877
2000,   Latvia,1366,2096,4238,6916,9212,12938,19353,30377,40240,45605,46604,44422,41260,37206,39852,48493,430178,726,1089,2192,3552,4622,6316,9176,14111,18438,20455,20539,19000,16842,13844,13636,13094,177632,640,1007,2046,3364,4590,6622,10177,16266,21802,25150,26065,25422,24418,23362,26216,35399,252546
2005,   Latvia,2283,3074,2429,4232,12526,13957,11700,15248,26441,36354,41868,42771,39791,35807,30981,57263,376725,1241,1600,1263,2184,6379,7029,5747,7197,12132,16427,18681,18424,16294,13771,10865,15511,154745,1042,1474,1166,2048,6147,6928,5953,8051,14309,19927,23187,24347,23497,22036,20116,41752,221980
2010,   Latvia,1787,1039,1008,1964,4425,7104,8529,11558,18809,29668,37248,36924,33107,29814,37763,53039,313786,980,535,519,1004,2255,3634,4277,5453,8501,13276,16529,15724,13328,11570,13213,13877,124675,807,504,489,960,2170,3470,4252,6105,10308,16392,20719,21200,19779,18244,24550,39162,189111
2015,   Latvia,3471,1629,936,1021,2133,3995,6074,7352,10310,17101,27272,34191,33592,29743,25484,61114,265418,1942,923,499,551,1111,2039,3057,3570,4838,7550,12043,14791,13759,11357,9144,16837,104011,1529,706,437,470,1022,1956,3017,3782,5472,9551,15229,19400,19833,18386,16340,44277,161407
2020,   Latvia,3038,4217,1634,1291,2654,3516,5476,7009,8070,11024,18013,27502,32307,31030,23665,58976,239422,1755,2357,906,740,1811,2140,3068,3791,4078,5173,8050,12023,13584,12138,8600,16808,97022,1283,1860,728,551,843,1376,2408,3218,3992,5851,9963,15479,18723,18892,15065,42168,142400
1990,   Lithuania,8743,6843,7846,10006,15898,27654,35927,34973,30265,25691,23270,24750,32417,27310,22686,14979,349258,4727,3695,4214,5321,8299,14196,18228,17670,15121,12619,11145,11278,14069,11037,8078,4888,164585,4016,3148,3632,4685,7599,13458,17699,17303,15144,13072,12125,13472,18348,16273,14608,10091,184673
1995,   Lithuania,3730,4148,4209,6021,7974,11116,17886,26031,31344,30580,25381,20635,22073,25406,21250,15803,273587,1987,2208,2241,3191,4177,5700,9019,13028,15627,15051,12246,9686,9885,10747,8108,5740,128641,1743,1940,1968,2830,3797,5416,8867,13003,15717,15529,13135,10949,12188,14659,13142,10063,144946
2000,   Lithuania,599,1226,2403,4547,6243,7588,11017,18512,27025,28570,23386,17651,18962,19580,16265,10737,214311,323,663,1281,2441,3296,3878,5512,9395,13574,14130,11325,8307,8617,8363,6322,3119,100546,276,563,1122,2106,2947,3710,5505,9117,13451,14440,12061,9344,10345,11217,9943,7618,113765
2005,   Lithuania,2718,3071,1990,2511,4008,6567,8805,10194,15986,21869,26356,23331,18967,14680,20309,19847,201209,1557,1799,1091,1336,2168,3617,4709,5453,8224,11209,12761,11166,8603,6427,7968,6101,94189,1161,1272,899,1175,1840,2950,4096,4741,7762,10660,13595,12165,10364,8253,12341,13746,107020
2010,   Lithuania,3017,2284,1199,1721,2980,4656,5667,7049,10471,17385,22982,19063,13724,10253,15912,22409,160772,1583,1208,590,860,1498,2438,2825,3526,5055,8475,10618,8760,5839,4216,5864,6251,69606,1434,1076,609,861,1482,2218,2842,3523,5416,8910,12364,10303,7885,6037,10048,16158,91166
2015,   Lithuania,8420,1568,1288,922,1668,2990,4175,4799,6240,9804,15657,20769,15546,10863,8916,22396,136021,4251,783,662,417,890,1576,2190,2298,2990,4502,7225,9169,6646,4268,3230,6411,57508,4169,785,626,505,778,1414,1985,2501,3250,5302,8432,11600,8900,6595,5686,15985,78513
2020,   Lithuania,10522,4695,1390,1399,2371,4238,6657,6996,7296,8812,11627,16879,20242,14016,8548,19496,145184,5537,2448,739,659,1391,3012,4988,5170,4980,5622,6260,8034,9141,5878,3296,5993,73148,4985,2247,651,740,980,1226,1669,1826,2316,3190,5367,8845,11101,8138,5252,13503,72036
1990,   Norway*,5268,9422,9302,10692,18305,26094,24510,20168,17779,14094,8722,6697,6258,5941,3603,5732,192587,2769,4805,4610,5350,9570,14234,13504,11191,9895,7645,4455,3205,2668,2651,1386,1624,99562,2499,4617,4692,5342,8735,11860,11006,8977,7884,6449,4267,3492,3590,3290,2217,4108,93025
1995,   Norway*,5821,10635,11960,13970,20584,28206,29357,26753,22284,17404,12596,9911,7162,6476,3928,6255,233302,2969,5377,6007,6919,10181,14244,15218,14181,11921,9231,6544,4950,3155,2942,1545,1838,117222,2852,5258,5953,7051,10403,13962,14139,12572,10363,8173,6052,4961,4007,3534,2383,4417,116080
2000,   Norway*,6835,12689,15563,18352,24489,32546,36524,35452,28550,22090,17466,13908,8632,7524,4564,7256,292440,3421,6405,7914,9076,11657,15461,18218,18365,14950,11596,9185,7114,3914,3486,1843,2221,144826,3414,6284,7649,9276,12832,17085,18306,17087,13600,10494,8281,6794,4718,4038,2721,5035,147614
2005,   Norway*,7900,14509,17556,20454,28962,42873,45996,43281,37039,30102,22592,16581,11557,8455,5129,8158,361144,3815,6922,8683,10107,13428,19896,22267,21806,19158,15914,11791,8473,5668,3928,2078,2510,176444,4085,7587,8873,10347,15534,22977,23729,21475,17881,14188,10801,8108,5889,4527,3051,5648,184700
2010,   Norway*,11042,20141,24162,27931,41041,64441,67534,62470,55241,46004,33644,23608,17512,11609,7042,11179,524601,5497,9787,12352,14515,19809,31149,33812,32470,29636,25391,18242,12622,9316,5717,3071,3849,267235,5545,10354,11810,13416,21232,33292,33722,30000,25605,20613,15402,10986,8196,5892,3971,7330,257366
2015,   Norway*,13793,27512,30697,35658,52554,90929,105505,93149,78662,64902,51487,36113,23898,16757,10716,14043,746375,7059,13846,15158,18793,26540,45140,55019,49803,42451,35527,28596,19734,12673,8767,5106,5158,389370,6734,13666,15539,16865,26014,45789,50486,43346,36211,29375,22891,16379,11225,7990,5610,8885,357005
2020,   Norway*,10127,25839,36815,42145,52669,84214,113810,113101,96051,78684,64059,48072,32519,21126,14989,18018,852238,5276,13165,18630,22294,27449,41552,57446,58780,50279,41487,34325,26075,17071,10801,7497,7079,439206,4851,12674,18185,19851,25220,42662,56364,54321,45772,37197,29734,21997,15448,10325,7492,10939,413032
1990,   Sweden,11037,21693,31601,45017,55800,76876,83275,81280,78664,66788,59425,50342,37695,30370,25478,33426,788767,4937,9583,13956,19830,24870,37312,42503,42537,41496,34284,30129,25132,19483,14101,10758,12174,383085,6100,12110,17645,25187,30930,39564,40772,38743,37168,32504,29296,25210,18212,16269,14720,21252,405682
1995,   Sweden,11819,34735,45394,44577,55485,79011,96640,94643,87428,85447,68482,62375,51763,45362,34458,38403,936022,6034,17772,23258,22400,25897,38339,50171,47973,43094,41881,35617,31232,23161,18576,13323,12217,450945,5785,16963,22136,22177,29588,40672,46469,46670,44334,43566,32865,31143,28602,26786,21135,26186,485077
2000,   Sweden,9528,22579,43484,53400,59400,76967,94331,103748,97326,88318,84799,67027,60236,48528,40713,53414,1003798,4671,11526,22390,27369,27842,35880,45909,53271,48722,42949,41068,34377,29564,21130,15921,17622,480211,4857,11053,21094,26031,31558,41087,48422,50477,48604,45369,43731,32650,30672,27398,24792,35792,523587
2005,   Sweden,11663,24389,34533,55170,75308,93114,100975,107667,110784,101306,89831,84467,65779,57315,43932,69557,1125790,5319,12285,17646,28382,36699,44793,47906,52275,56175,50202,43258,40498,33339,27651,18481,23581,538490,6344,12104,16887,26788,38609,48321,53069,55392,54609,51104,46573,43969,32440,29664,25451,45976,587300
2010,   Sweden,15979,33984,43516,57643,92669,130208,129740,123726,123466,118430,102803,89570,80689,62098,51441,81252,1337214,8022,16681,22263,30186,45631,65925,64425,59437,60849,59519,50420,42727,38403,31376,23538,28602,648004,7957,17303,21253,27457,47038,64283,65315,64289,62617,58911,52383,46843,42286,30722,27903,52650,689210
2015,   Sweden,19032,45446,58086,73445,95397,150532,173198,157159,142199,134666,124507,104920,89173,77753,57628,99381,1602522,9975,23050,29425,39996,48760,75491,88115,78404,68694,66272,62266,51089,42141,36579,28458,38155,786870,9057,22396,28661,33449,46637,75041,85083,78755,73505,68394,62241,53831,47032,41174,29170,61226,815652
2020,   Sweden,25540,65833,84103,106557,126434,171826,216213,210565,182425,159487,146097,127968,105885,86813,71222,116940,2003908,13267,34180,43404,61082,69317,88331,111055,107796,91266,77772,72766,63661,51507,40551,33436,48615,1008006,12273,31653,40699,45475,57117,83495,105158,102769,91159,81715,73331,64307,54378,46262,37786,68325,995902
1990,   United Kingdom*,62379,106000,119924,157924,270789,361354,394784,370012,326127,266682,271131,240376,226873,198709,123534,153688,3650286,32048,54667,62008,79568,124603,172311,192271,179477,151323,126133,136490,120982,107943,97784,58667,60173,1756448,30331,51333,57916,78356,146186,189043,202513,190535,174804,140549,134641,119394,118930,100925,64867,93515,1893838
1995,   United Kingdom*,73196,85278,124197,203197,360066,382065,454665,420721,392246,328502,261131,255000,226351,222390,183040,183248,4155293,37344,43677,63779,101640,164260,180723,219725,202486,180462,154104,130507,127415,106825,108609,86222,70933,1978711,35852,41601,60418,101557,195806,201342,234940,218235,211784,174398,130624,127585,119526,113781,96818,112315,2176582
2000,   United Kingdom*,78797,121774,151870,216194,369969,479354,482273,457836,444029,392365,334594,261750,258185,217375,187980,275820,4730165,40346,62231,78122,109908,169560,220558,230166,221068,214310,185764,152107,121175,125420,103932,81955,112006,2228628,38451,59543,73748,106286,200409,258796,252107,236768,229719,206601,182487,140575,132765,113443,106025,163814,2501537
2005,   United Kingdom*,100103,114802,147473,279385,667312,749822,717792,567541,498869,441200,372373,306427,240164,244595,193260,285038,5926156,51699,59179,76510,143280,309117,348681,345977,276707,243123,210996,171126,143353,117788,118105,85247,117289,2818177,48404,55623,70963,136105,358195,401141,371815,290834,255746,230204,201247,163074,122376,126490,108013,167749,3107979
2010,   United Kingdom*,106467,201100,245771,308772,590988,919699,920707,748625,643757,531592,448227,357372,273679,237725,213183,372000,7119664,52701,100795,122750,150357,299278,438991,458067,378612,327066,256157,218441,164864,120651,113586,101539,150601,3454456,53766,100305,123021,158415,291710,480708,462640,370013,316691,275435,229786,192508,153028,124139,111644,221399,3665208
2015,   United Kingdom*,113752,233744,279741,356824,601964,933065,1131803,1042187,829275,639950,545588,455029,326300,254992,232430,430352,8406996,56142,118408,145964,175835,294373,429352,527759,522717,413898,312236,266619,213560,145587,112630,103645,182530,4021255,57610,115336,133777,180989,307591,503713,604044,519470,415377,327714,278969,241469,180713,142362,128785,247822,4385741
2020,   United Kingdom*,110450,250949,323296,399976,612019,883629,1153229,1194566,1014020,815399,631740,527774,410265,307814,242979,481482,9359587,58985,128676,160488,203704,295140,412666,555540,563483,491929,403482,301917,247069,194207,138779,107125,201233,4464423,51465,122273,162808,196272,316879,470963,597689,631083,522091,411917,329823,280705,216058,169035,135854,280249,4895164
1990,  Southern Europe,130252,190161,273829,412186,465220,480414,411759,355829,299430,249590,233934,199028,181293,137536,119075,200897,4340433,69171,99518,141698,210351,232224,233609,194428,164306,137341,116889,112007,92041,79613,57162,48096,74537,2062991,61081,90643,132131,201835,232996,246805,217331,191523,162089,132701,121927,106987,101680,80374,70979,126360,2277442
1995,  Southern Europe,168727,242290,324701,418299,583041,707956,700164,622124,513486,421273,341631,278884,238837,180447,192751,295503,6230114,87078,124960,167371,214161,292212,347580,340097,299310,242513,196609,157065,122979,102374,74461,78624,112185,2959579,81649,117330,157330,204138,290829,360376,360067,322814,270973,224664,184566,155905,136463,105986,114127,183318,3270535
2000,  Southern Europe,135895,253160,338263,406572,629470,923713,976331,878314,704703,564785,425034,317518,290040,233214,232029,372617,7681658,69295,129476,174075,211217,317731,457238,487369,439134,344930,268854,193874,137259,124639,98566,96546,138723,3688926,66600,123684,164188,195355,311739,466475,488962,439180,359773,295931,231160,180259,165401,134648,135483,233894,3992732
2005,  Southern Europe,169300,352286,505441,644861,960717,1387597,1586468,1496537,1249116,963329,708326,519496,408913,339050,294519,418068,12004024,88596,183182,263589,337421,482944,689322,805309,767257,626379,462172,320140,225465,173043,143881,123913,158542,5851155,80704,169104,241852,307440,477773,698275,781159,729280,622737,501157,388186,294031,235870,195169,170606,259526,6152869
2010,  Southern Europe,202008,432412,655254,873737,1288675,1825655,2127549,2065896,1779733,1390942,1044476,755600,545348,401954,341254,475780,16206273,104131,221989,340075,451839,638870,905331,1078303,1039979,883186,666346,477820,328700,230063,174527,149793,185699,7876651,97877,210423,315179,421898,649805,920324,1049246,1025917,896547,724596,566656,426900,315285,227427,191461,290081,8329622
2015,  Southern Europe,117814,260252,468591,737610,994475,1395146,1762360,1978150,1951014,1684103,1319254,987512,713613,506666,378537,560360,15815457,60502,133158,242107,383797,499050,654512,834163,958532,940024,798585,599695,429959,298860,209436,160852,223852,7427084,57312,127094,226484,353813,495425,740634,928197,1019618,1010990,885518,719559,557553,414753,297230,217685,336508,8388373
2020,  Southern Europe,178993,285382,408930,698009,1145695,1442275,1731145,1965957,2066487,1954005,1652808,1275003,954147,693070,466996,746786,17665688,92701,147090,212505,380764,621351,717663,821914,931859,992227,923254,767986,561434,403227,288402,194565,298122,8355064,86292,138292,196425,317245,524344,724612,909231,1034098,1074260,1030751,884822,713569,550920,404668,272431,448664,9310624
1990,   Albania,3268,3440,4155,4818,6429,6957,8264,8574,6782,4477,2716,1887,1377,886,838,1145,66013,1802,1914,2322,2675,3524,3654,4057,3818,2532,1416,885,688,463,263,257,309,30579,1466,1526,1833,2143,2905,3303,4207,4756,4250,3061,1831,1199,914,623,581,836,35434
1995,   Albania,5796,5768,5714,5789,6478,6762,7352,7375,5889,3972,2589,1857,1407,1175,1352,2079,71354,3174,3188,3173,3193,3527,3525,3579,3251,2170,1234,831,668,465,342,406,558,33284,2622,2580,2541,2596,2951,3237,3773,4124,3719,2738,1758,1189,942,833,946,1521,38070
2000,   Albania,8642,8384,7444,6841,6461,6461,6218,5911,4794,3346,2414,1802,1426,1493,1929,3129,76695,3883,3841,3371,2824,2520,3070,2906,3207,2839,1912,1315,946,762,722,871,1001,35990,4759,4543,4073,4017,3941,3391,3312,2704,1955,1434,1099,856,664,771,1058,2128,40705
2005,   Albania,9396,8984,7438,5810,5672,4190,3873,3331,2786,2070,1744,1371,1141,1466,2045,3422,64739,4698,4565,3743,2713,2532,2194,2001,1948,1755,1265,1024,780,658,779,1027,1311,32993,4698,4419,3695,3097,3140,1996,1872,1383,1031,805,720,591,483,687,1018,2111,31746
